# temperature (K)	pressure (bar)	magnetic field (V)	photoresistance (V)	acceleration (m/s^2)
298.64	1.14275	2.2607421875	0.8740234375	(0.16, -0.04, 10.43)
298.64	1.1428399999999999	2.255859375	0.8642578125	(0.12, -0.04, 10.43)
298.64	1.1428099999999999	2.255859375	0.8642578125	(0.2, -0.04, 10.36)
298.64	1.1428099999999999	2.2607421875	0.8447265625	(0.08, -0.04, 10.28)
298.64	1.14278	2.2607421875	0.859375	(0.12, 0.0, 10.43)
298.64	1.14278	2.255859375	0.8349609375	(0.16, 0.0, 10.4)
298.64	1.1428099999999999	2.255859375	0.8544921875	(0.12, -0.04, 10.36)
298.65	1.14269	2.255859375	0.8642578125	(0.16, 0.0, 10.4)
298.64	1.1428099999999999	2.255859375	0.8642578125	(0.12, 0.0, 10.36)
298.65999999999997	1.14259	2.255859375	0.83984375	(0.12, 0.0, 10.4)
298.65	1.14275	2.255859375	0.8251953125	(0.12, 0.0, 10.36)
298.65	1.14275	2.255859375	0.8154296875	(0.12, -0.04, 10.43)
298.65	1.14275	2.255859375	0.8203125	(0.16, 0.0, 10.36)
298.64	1.14278	2.255859375	0.8056640625	(0.12, 0.0, 10.4)
298.65	1.14272	2.2607421875	0.80078125	(0.12, 0.0, 10.36)
298.64	1.1428399999999999	2.255859375	0.8056640625	(0.16, -0.04, 10.36)
298.64	1.1428099999999999	2.255859375	0.810546875	(0.16, -0.04, 10.4)
