# temperature (K)	pressure (bar)	magnetic field (V)	photoresistance (V)	acceleration (m/s^2)
298.65999999999997	1.14256	2.2607421875	0.9912109375	(0.16, 0.0, 10.36)
298.65999999999997	1.14259	2.2705078125	0.99609375	(0.16, 0.0, 10.4)
298.65999999999997	1.14256	2.265625	0.9912109375	(0.16, 0.0, 10.36)
298.65999999999997	1.14256	2.2705078125	0.99609375	(0.16, 0.0, 10.32)
298.65	1.14263	2.265625	0.9912109375	(0.12, 0.0, 10.36)
298.65	1.14269	2.2705078125	0.9912109375	(0.12, 0.0, 10.43)
298.65999999999997	1.14253	2.265625	1.0302734375	(0.16, -0.04, 10.4)
298.65999999999997	1.14253	2.265625	1.0302734375	(0.12, -0.04, 10.36)
298.65999999999997	1.14259	2.265625	0.9619140625	(0.16, 0.0, 10.36)
298.65	1.14269	2.2705078125	0.9619140625	(0.12, 0.0, 10.4)
298.64	1.1428099999999999	2.2705078125	0.9619140625	(0.08, 0.0, 10.36)
298.64	1.14278	2.2705078125	0.9619140625	(0.12, 0.0, 10.36)
298.64	1.14275	2.2705078125	0.95703125	(0.12, 0.04, 10.32)
298.64	1.14275	2.265625	0.947265625	(0.12, -0.04, 10.32)
298.65	1.14269	2.265625	0.9423828125	(0.12, 0.0, 10.4)
298.65	1.14266	2.265625	0.9521484375	(0.12, 0.0, 10.4)
298.65	1.14263	2.265625	0.95703125	(0.16, -0.04, 10.36)
298.65	1.14266	2.2705078125	0.9521484375	(0.12, 0.0, 10.36)
298.65	1.14272	2.2705078125	1.005859375	(0.12, 0.0, 10.4)
298.66999999999996	1.14246	2.265625	0.986328125	(0.12, 0.0, 10.4)
