# temperature (K)	pressure (bar)	magnetic field (V)	photoresistance (V)	acceleration (m/s^2)
298.35999999999996	1.14626	2.236328125	0.83984375	(0.08, -0.04, 10.4)
298.34999999999997	1.14645	2.2412109375	0.8447265625	(0.16, 0.0, 10.43)
298.34999999999997	1.14642	2.2412109375	0.849609375	(0.12, 0.0, 10.4)
298.34999999999997	1.1463599999999998	2.2412109375	0.849609375	(0.16, -0.04, 10.4)
298.34999999999997	1.14639	2.2412109375	0.8447265625	(0.16, -0.04, 10.36)
298.37	1.1462	2.2412109375	0.8447265625	(0.12, 0.0, 10.36)
298.37	1.14623	2.24609375	0.8447265625	(0.12, -0.04, 10.4)
298.35999999999996	1.14623	2.2412109375	0.8349609375	(0.12, -0.04, 10.36)
298.37	1.1462	2.2412109375	0.849609375	(0.12, -0.04, 10.32)
298.34999999999997	1.14639	2.2412109375	0.83984375	(0.12, -0.04, 10.36)
298.35999999999996	1.1463599999999998	2.2412109375	0.83984375	(0.12, 0.0, 10.4)
298.34999999999997	1.14629	2.2412109375	0.8447265625	(0.12, -0.04, 10.4)
298.35999999999996	1.1463599999999998	2.24609375	0.8447265625	(0.12, -0.04, 10.43)
298.34999999999997	1.1463599999999998	2.2412109375	0.8447265625	(0.12, -0.04, 10.36)
298.34999999999997	1.14639	2.2412109375	0.849609375	(0.12, -0.04, 10.4)
298.34999999999997	1.14642	2.24609375	0.8447265625	(0.16, -0.04, 10.43)
298.34999999999997	1.14645	2.2412109375	0.8447265625	(0.12, 0.0, 10.4)
298.34999999999997	1.14648	2.2412109375	0.8447265625	(0.16, -0.04, 10.28)
298.34999999999997	1.14648	2.2412109375	0.849609375	(0.12, -0.04, 10.36)
298.34	1.14652	2.24609375	0.8447265625	(0.12, -0.04, 10.4)
298.34999999999997	1.14642	2.2412109375	0.849609375	(0.16, 0.0, 10.4)
298.33	1.14661	2.2412109375	0.8447265625	(0.16, -0.04, 10.36)
298.33	1.14658	2.2412109375	0.849609375	(0.12, 0.0, 10.4)
298.33	1.14664	2.2412109375	0.8349609375	(0.16, -0.04, 10.32)
298.32	1.14679	2.236328125	0.849609375	(0.16, 0.0, 10.43)
298.32	1.1469200000000002	2.2412109375	0.849609375	(0.12, -0.04, 10.47)
298.31	1.1469500000000001	2.24609375	0.849609375	(0.12, -0.04, 10.36)
298.29999999999995	1.14702	2.24609375	0.849609375	(0.12, -0.08, 10.4)
298.29999999999995	1.1471099999999999	2.2412109375	0.8447265625	(0.12, -0.04, 10.4)
298.28	1.14717	2.2412109375	0.849609375	(0.16, -0.04, 10.36)
