# temperature (K)	pressure (bar)	magnetic field (V)	photoresistance (V)	acceleration (m/s^2)
298.65	1.14272	2.2607421875	0.849609375	(0.16, 0.0, 10.43)
298.64	1.1428399999999999	2.265625	0.859375	(0.16, -0.04, 10.4)
298.63	1.14294	2.2705078125	0.869140625	(0.2, 0.0, 10.47)
298.64	1.1428099999999999	2.265625	0.849609375	(0.12, -0.04, 10.4)
298.64	1.14291	2.265625	0.8447265625	(0.08, -0.04, 10.4)
298.63	1.14294	2.265625	0.8447265625	(0.2, 0.0, 10.4)
298.63	1.14294	2.2705078125	0.8544921875	(0.16, 0.0, 10.36)
298.63	1.14291	2.2705078125	0.8447265625	(0.16, 0.0, 10.4)
298.63	1.14294	2.265625	0.859375	(0.16, 0.0, 10.32)
298.63	1.14297	2.265625	0.8642578125	(0.16, 0.0, 10.32)
298.63	1.14291	2.2705078125	0.859375	(0.12, 0.0, 10.36)
298.63	1.14291	2.265625	0.8349609375	(0.16, 0.0, 10.4)
298.64	1.1428399999999999	2.265625	0.8154296875	(0.12, -0.04, 10.36)
298.64	1.1428099999999999	2.265625	0.8203125	(0.16, 0.0, 10.4)
298.63	1.14294	2.265625	0.8349609375	(0.12, 0.0, 10.4)
298.63	1.143	2.275390625	0.8349609375	(0.12, 0.0, 10.36)
298.63	1.14291	2.2705078125	0.830078125	(0.12, -0.04, 10.36)
298.63	1.143	2.265625	0.83984375	(0.16, -0.08, 10.32)
298.62	1.14297	2.265625	0.83984375	(0.16, -0.04, 10.4)
298.63	1.143	2.2705078125	0.8251953125	(0.12, 0.0, 10.32)
298.62	1.14309	2.2705078125	0.8251953125	(0.16, -0.04, 10.4)
298.62	1.143	2.2705078125	0.8349609375	(0.12, 0.0, 10.36)
298.64	1.14291	2.2705078125	0.830078125	(0.16, 0.0, 10.32)
298.63	1.1428399999999999	2.265625	0.830078125	(0.16, 0.0, 10.36)
298.64	1.1428399999999999	2.2705078125	0.8642578125	(0.16, 0.0, 10.36)
298.64	1.1428399999999999	2.265625	0.888671875	(0.16, 0.0, 10.36)
298.64	1.1428099999999999	2.265625	0.9033203125	(0.12, 0.0, 10.43)
298.64	1.1428099999999999	2.265625	0.908203125	(0.16, 0.0, 10.4)
298.65	1.14266	2.265625	0.9130859375	(0.16, 0.0, 10.4)
298.65	1.14269	2.265625	0.91796875	(0.16, 0.0, 10.4)
298.65	1.14269	2.265625	0.9228515625	(0.16, 0.0, 10.36)
298.64	1.14278	2.2705078125	0.9326171875	(0.16, 0.0, 10.43)
298.64	1.14278	2.2705078125	0.9375	(0.16, 0.0, 10.36)
298.65	1.14278	2.2705078125	0.9423828125	(0.16, -0.04, 10.36)
298.65	1.14275	2.265625	0.947265625	(0.16, -0.04, 10.36)
