# temperature (K)	pressure (bar)	magnetic field (V)	photoresistance (V)	acceleration (m/s^2)
298.65	1.14266	2.265625	0.95703125	(0.12, 0.0, 10.4)
298.65	1.14266	2.265625	0.9619140625	(0.16, -0.04, 10.4)
298.65	1.14272	2.2705078125	0.9716796875	(0.2, 0.0, 10.4)
298.65	1.14272	2.265625	0.9765625	(0.12, 0.0, 10.36)
298.65	1.14272	2.2705078125	0.9765625	(0.12, 0.0, 10.4)
298.65	1.14269	2.2705078125	0.9814453125	(0.12, 0.0, 10.36)
298.65	1.14272	2.265625	0.9814453125	(0.12, 0.0, 10.36)
298.65	1.14269	2.265625	0.947265625	(0.12, -0.08, 10.32)
298.65999999999997	1.14266	2.2705078125	0.947265625	(0.12, 0.0, 10.36)
298.65	1.14263	2.2705078125	0.9716796875	(0.12, 0.0, 10.43)
298.65	1.14272	2.2705078125	0.99609375	(0.16, 0.0, 10.4)
298.64	1.1428099999999999	2.2705078125	1.005859375	(0.16, 0.0, 10.36)
298.64	1.1428099999999999	2.265625	1.005859375	(0.12, 0.0, 10.4)
298.64	1.1428099999999999	2.265625	1.005859375	(0.12, 0.0, 10.43)
298.64	1.1428099999999999	2.265625	1.0009765625	(0.16, 0.0, 10.43)
298.64	1.14272	2.2705078125	0.9814453125	(0.16, -0.04, 10.36)
298.65	1.14266	2.2705078125	0.9765625	(0.12, 0.0, 10.4)
298.65	1.14272	2.2705078125	0.966796875	(0.2, -0.04, 10.4)
298.65	1.14269	2.2705078125	0.9619140625	(0.12, 0.0, 10.4)
298.65999999999997	1.14266	2.2705078125	0.9619140625	(0.12, 0.0, 10.32)
298.65999999999997	1.14256	2.265625	0.95703125	(0.12, 0.0, 10.36)
298.66999999999996	1.14243	2.265625	0.9521484375	(0.16, 0.0, 10.32)
298.66999999999996	1.14246	2.265625	0.95703125	(0.12, 0.0, 10.47)
298.66999999999996	1.14243	2.2705078125	0.95703125	(0.12, 0.0, 10.36)
298.65999999999997	1.1425	2.265625	0.9521484375	(0.12, 0.0, 10.36)
298.65999999999997	1.14263	2.265625	0.9326171875	(0.12, 0.0, 10.4)
298.65999999999997	1.14256	2.265625	0.9326171875	(0.16, 0.0, 10.4)
298.66999999999996	1.14243	2.265625	0.9423828125	(0.16, 0.0, 10.4)
298.66999999999996	1.1425	2.265625	0.9423828125	(0.16, 0.0, 10.36)
298.66999999999996	1.14246	2.265625	0.9423828125	(0.12, 0.0, 10.36)
298.66999999999996	1.1425	2.2705078125	0.9423828125	(0.12, -0.04, 10.36)
298.66999999999996	1.14243	2.265625	0.9423828125	(0.12, 0.0, 10.36)
298.67999999999995	1.1423699999999999	2.2705078125	0.9423828125	(0.16, 0.0, 10.32)
298.67999999999995	1.1423699999999999	2.2705078125	0.9423828125	(0.16, 0.0, 10.43)
298.67999999999995	1.1424	2.2705078125	0.9423828125	(0.12, 0.0, 10.36)
298.67999999999995	1.14231	2.2705078125	0.9423828125	(0.12, 0.0, 10.4)
298.66999999999996	1.1424	2.265625	0.947265625	(0.12, -0.04, 10.36)
298.66999999999996	1.14246	2.265625	0.9423828125	(0.12, 0.0, 10.32)
298.66999999999996	1.14246	2.265625	0.9423828125	(0.16, 0.0, 10.32)
298.66999999999996	1.14253	2.2705078125	0.9423828125	(0.16, -0.04, 10.43)
298.66999999999996	1.14246	2.2705078125	0.947265625	(0.12, 0.0, 10.43)
298.66999999999996	1.1423699999999999	2.2705078125	0.9423828125	(0.12, 0.0, 10.36)
298.67999999999995	1.1424	2.2705078125	0.947265625	(0.12, 0.0, 10.32)
298.67999999999995	1.14231	2.2705078125	0.9521484375	(0.12, 0.0, 10.4)
298.67999999999995	1.14228	2.265625	0.9521484375	(0.12, 0.0, 10.36)
298.69	1.14225	2.2705078125	0.9619140625	(0.16, -0.04, 10.36)
298.7	1.1421500000000002	2.2705078125	0.966796875	(0.2, -0.04, 10.4)
298.7	1.14209	2.265625	0.9765625	(0.16, 0.0, 10.28)
298.71	1.14196	2.2705078125	0.9716796875	(0.16, 0.0, 10.4)
298.71	1.1419300000000001	2.2705078125	0.9716796875	(0.12, 0.0, 10.32)
298.7	1.14209	2.265625	0.9765625	(0.12, 0.0, 10.36)
298.69	1.14225	2.265625	0.9765625	(0.12, -0.04, 10.36)
298.69	1.14225	2.265625	0.9814453125	(0.12, 0.0, 10.32)
298.67999999999995	1.14228	2.2705078125	0.9814453125	(0.16, 0.0, 10.36)
298.67999999999995	1.1424	2.2705078125	0.9814453125	(0.16, -0.04, 10.36)
298.66999999999996	1.1423699999999999	2.2705078125	0.9814453125	(0.16, 0.0, 10.36)
298.66999999999996	1.14243	2.265625	0.986328125	(0.16, -0.04, 10.4)
298.65999999999997	1.14246	2.2705078125	0.9814453125	(0.16, 0.0, 10.4)
298.66999999999996	1.14246	2.265625	0.9814453125	(0.16, 0.0, 10.36)
298.65999999999997	1.14243	2.2705078125	0.986328125	(0.12, 0.0, 10.36)
298.66999999999996	1.14246	2.265625	0.9912109375	(0.16, 0.0, 10.36)
298.66999999999996	1.14246	2.2705078125	0.986328125	(0.16, -0.04, 10.4)
298.65999999999997	1.14253	2.265625	0.9912109375	(0.12, -0.04, 10.4)
298.65999999999997	1.14259	2.265625	0.986328125	(0.12, 0.0, 10.36)
298.65	1.14269	2.265625	0.99609375	(0.16, 0.0, 10.36)
298.65999999999997	1.14259	2.2705078125	0.9912109375	(0.16, -0.04, 10.36)
